Project ID,ARB ID,Cooperative/ Aggregate ID,Project Developer,Project Owner,Project Name,Offset Project Operator,Authorized Project Designee,Verification Body,Project Type,Status,ARB Project Status,CORSIA Eligible,Project Site Location,Project Site State,Project Site Country,Additional Certification(s),SDG Impact,Project Notes,Total Number of Offset Credits Registered ,Project Listed Date,Project Registered Date,Documents,Data,Project Website
CAR1269,CAOD5369,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2017-7,"Coolgas, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,33184,07/21/2017,11/22/2017,View,View,www.agasamericas.com
CAR1308,CAOD6308,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2018-6,"Coolgas, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,"Wood County, Bowling Green",OHIO,US,,,,60855,06/08/2018,08/21/2018,View,View,www.agasamericas.com
CAR1319,CAOD6319,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas 2019-2,Coolgas,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Inactive,No,"Wood County, Bowling Green, Ohio",OHIO,US,,,,,09/20/2018,,View,View,www.agasamericas.com
CAR596,NA,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas India ODS Project 1,,,"First Environment, Inc.",Ozone Depleting Substances - Article 5 Imports,Completed,Not ARB Eligible,No,India,ARKANSAS,US,,,Reporting period ended 3/2010. Project completed.,683087,03/04/2010,05/12/2010,View,View,www.coolgas.com
CAR597,NA,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas India ODS project 2,,,"First Environment, Inc.",Ozone Depleting Substances - Article 5 Imports,Completed,Not ARB Eligible,No,India,ARKANSAS,US,,,Reporting period ended 4/2011. Project completed.,551802,03/04/2010,10/22/2010,View,View,
CAR1023,NA,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas ODS 2013 Project #1,"Coolgas, inc",none,,Ozone Depleting Substances - U.S.,Completed,Not ARB Eligible,No,Bowling Green,OHIO,US,,,,108627,10/17/2013,06/04/2014,View,View,www.coolgas.com
CAR905,NA,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas US ODS Project 1,,,,Ozone Depleting Substances - U.S.,Completed,Not ARB Eligible,No,"El Dorado, AR",ARKANSAS,US,,,,197988,09/30/2011,01/10/2012,View,View,
CAR948,NA,,"COOLGAS, INC.","COOLGAS, INC.",Coolgas US ODS Project 2,,,,Ozone Depleting Substances - U.S.,Completed,Not ARB Eligible,No,"Bowling Green, Ohio",OHIO,US,,,,163884,01/31/2012,04/17/2012,View,View,
CAR1151,CALS5151,,"Gallo Cattle Company, a Limited Partnership","Gallo Cattle Company, a Limited Partnership",Cottonwood Dairy Livestock Gas Capture Project,"Gallo Cattle Company, A  Limited Partnership","Ag Methane Advisors, LLC",,Livestock - ARB Compliance,Completed,Terminated,No,"Atwater, Merced County",CALIFORNIA,US,,,Missed OPDR deadline,70542,02/25/2015,12/21/2016,View,View,
CAR393,NA,,Grey K Trading Limited,Grey K Trading Limited,Cottonwood Dairy Livestock Gas Capture Project,,,"First Environment, Inc.",Livestock Gas Capture/Combustion,Completed,Not ARB Eligible,No,Merced County,CALIFORNIA,US,,,"Redesginated as a Livestock Project (previously OWD). See CAR578 for 2008, 2009 reporting periods.",49522,08/05/2008,06/22/2009,View,View,
CAR578,NA,,Grey K Trading Limited,Grey K Trading Limited,Cottonwood Dairy Organic Waste Digestion Project,,,"First Environment, Inc.",Organic Waste Digestion,Completed,Not ARB Eligible,No,"Atwater, Merced County,",CALIFORNIA,US,,,Redesginated as a Livestock Project (previously OWD). See CAR393.,44457,01/21/2010,03/21/2011,View,View,
CAR813,NA,,Environmental Credit Corp.,Environmental Credit Corp.,Coyne Farms,Environmental Credit Corp.,N/A,"First Environment, Inc.",Livestock Gas Capture/Combustion,Registered,Not ARB Eligible,No,"Livingston County, Avon, New York",NEW YORK,US,,,,2314,04/19/2011,08/02/2012,View,View,
CAR1114,CAFR5114,,Sierra Pacific Industries,Sierra Pacific Industries,Crane Valley,Sierra Pacific Industries,None,SCS Global Services,Improved Forest Management - ARB Compliance,Registered,Active Registry Project,No,In Butte and Plumas Counties north east of Chico,CALIFORNIA,US,,,,356040,02/13/2015,03/23/2017,View,View,
CAR1620,NA,,WM Renewable Energy LLC,WM Renewable Energy LLC,Crossroads Eco Center Landfill/Caldwell Landfill,,,,Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,No,Morristown,INDIANA,US,,,,1917,11/09/2022,08/16/2024,View,View,
CAR503,NA,,Crow Wing County Solid Waste Management,Crow Wing County Solid Waste Management,Crow Wing County Landfill Gas Collection System,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,No,Crow Wing County,MINNESOTA,US,,,,110612,10/16/2009,06/09/2010,View,View,
CAR1076,CALS5074,,"CSE Operating I, LLC","CSE Operating I, LLC",CSE Arizona Facility,"CSE Operating I, LLC",None,,Livestock - ARB Compliance,Completed,,No,"Buckeye, Arizona",ARIZONA,US,,,,105788,07/01/2014,03/23/2015,View,View,
CAR799,NA,,"CSE Operating I, LLC","CSE Operating I, LLC",CSE AZ Facility I,,,,Livestock Gas Capture/Combustion,Completed,Not ARB Eligible,No,Maricopa County,ARIZONA,US,,,,21814,01/20/2011,05/05/2012,View,View,
CAR994,NA,,Dairy Dreams LLC,Dairy Dreams LLC,Dairy Dreams,"Dairy Dreams, LLC",none,,Livestock Gas Capture/Combustion,Completed,Not ARB Eligible,No,Casco,WISCONSIN,US,,,,65502,06/03/2013,02/19/2014,View,View,
CAR1097,CALS5109,,"3Degrees Group, Inc","3Degrees Group, Inc",Dairy Dreams Methane Reduction Project,"Dairy Dreams, LLC","3Degrees Group, Inc",,Livestock - ARB Compliance,Registered,Active ARB Project,No,Near Green Bay,WISCONSIN,US,,,,67385,01/22/2015,02/24/2016,View,View,
CAR1974,NA,,"CI Score Solution, LLC","CI Score Solution, LLC",Dairyland Digester,"Dairyland Biogas, LLC","CI Score Solution, LLC",,Livestock Gas Capture/Combustion,Listed,Not ARB Eligible,No,New Franken,WISCONSIN,US,,,,,05/24/2024,,View,View,
CAR969,CALS5021,,"CI Score Solution, LLC","CI Score Solution, LLC",Dairyland Digester,"Dairyland Biogas, LLC","CI Score Solution, LLC",,Livestock - ARB Compliance,Completed,Terminated,No,New Franken near Green Bay,WISCONSIN,US,,,Project will continue reporting under the voluntary program under CAR1974.,282984,08/12/2013,03/11/2015,View,View,
CAR466,NA,,Dalton-Whitfield Regional Solid Waste Management Authority,Dalton-Whitfield Regional Solid Waste Management Authority,Dalton-Whitfield Landfill Project,,,"TUV SUD America, Inc.",Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,No,Whitfield County,GEORGIA,US,,,,390809,08/03/2023,07/28/2010,View,View,www.dwswa.org
CAR468,NA,,"Davidson Gas Producers, LLC","Davidson Gas Producers, LLC",Davidson County Landfill Gas Destruction Project,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,No,"Davidson County, Lexington, NC",NORTH CAROLINA,US,,,,233261,06/25/2009,01/08/2010,View,View,www.dtebe.com
CAR473,NA,,"Anew Environmental, LLC","Anew Environmental, LLC",Davis Landfill Gas Offset Project,,,SCS Global Services,Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,No,"Layton, Utah",UTAH,US,,,,825029,07/30/2019,07/24/2019,View,View,www.wasatchintegrated.org
CAR1403,CAFR6403,,Sierra Pacific Industries,Sierra Pacific Industries,Deadwood,Sierra Pacific Industries,None,,Improved Forest Management - ARB Compliance,Listed,Proposed Project,No,Shasta and Trinity Counties,CALIFORNIA,US,,,,,08/17/2020,,View,View,
CAR533,NA,,"Anew Carbon Development, LLC","Anew Carbon Development, LLC",Decatur County S.R. 309 Municipal Solid Waste Landfill Project,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,No,"Bainbridge, Decatur County",GEORGIA,US,,,,,,,View,View,
CAR2039,CAMM7039,,"Keyrock Energy, LLC","Keyrock Energy, LLC",Deep Mine 41 Mine Methane Incineration Project,"Keyrock Energy, LLC",None,,Mine Methane Capture - ARB Compliance,Listed,Proposed Project,No,"Dickenson County, near Nora",VIRGINIA,US,,,,,08/29/2024,,View,View,none
CAR982,CALS5020,,"U.S. Venture, Inc.","U.S. Venture, Inc.",Deer Run Digester,"U.S. Venture, Inc.",None,,Livestock - ARB Compliance,Completed,Terminated,No,Kewaunee County,WISCONSIN,US,,,,51053,08/12/2013,03/18/2015,View,View,www.energysystemsgroup.com
CAR1960,NA,,The Climate Trust,Delhi Ranch,Delhi Ranch,,,,Avoided Grassland Conversion,Listed,Not ARB Eligible,No,Las Animas County; Otero County; Pueblo County,COLORADO,US,,,,,05/01/2024,,View,View,
CAR1796,NA,,Quimobasicos SA de CV,Quimobasicos SA de CV,Destruction of Halocarbon in México,,,"TUV SUD America, Inc.",Ozone Depleting Substances – MX,Listed,Not ARB Eligible,No,MONTERREY,NUEVO LEÓN,MX,,,,,03/14/2024,,View,View,www.quimobasicos.com.mx
CAR398,NA,,Development Authority of the North Country,Development Authority of the North Country,Development Authority of the North Country (DANC) Landfill Gas Destruction Project,,,"First Environment, Inc.",Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,No,"Rodman, NY",NEW YORK,US,,,"Moved to completed 3/14/2013 (reached end of crediting period).
resubmitted with zcrp",472314,04/27/2023,12/23/2008,View,View,
CAR1127,CALS5127,,"Camco Offsets I, LLC","Camco Offsets I, LLC",District 45 Dairy,"Riverview, LLP","Camco Offsets I, LLC",,Livestock - ARB Compliance,Completed,Terminated,No,Hancock,MINNESOTA,US,,,,59593,02/04/2015,03/17/2016,View,View,
CAR775,NA,,"Camco International Group, Inc.","Camco International Group, Inc.",District 45 Dairy,"Camco International Group, Inc.",N/A,,Livestock Gas Capture/Combustion,Completed,Not ARB Eligible,No,"Hancock, Minnesota",MINNESOTA,US,,,,57676,09/09/2010,03/01/2012,View,View,
CAR1953,CAFR6953,,Sierra Pacific Industries,Sierra Pacific Industries,Dixie Refo,Sierra Pacific Industries,None,,Reforestation - ARB Compliance,Listed,Proposed Project,No,Plumas and Lassen Counties,CALIFORNIA,US,,,,,04/05/2024,,View,View,
